iter	RMSE
0	13424598.23
1	12330851.62
2	11341677.18
3	10476437.45
4	9720464.706
5	9051457.373
6	8474632.64
7	7970555.731
8	7562595.577
9	7199729.475
10	6863735.743
11	6569495.597
12	6330278.417
13	6125747.756
14	5941196.256
15	5783589.479
16	5651243.906
17	5534913.554
18	5427928.126
19	5306185.185
20	5205836.774
21	5123653.044
22	5051004.087
23	4982360.137
24	4925913.86
25	4882769.363
26	4832691.28
27	4799567.152
28	4765169.254
29	4736694.171
30	4718994.997
31	4700608.568
32	4683632.52
33	4666066.84
34	4648137.449
35	4636208.038
36	4623610.562
37	4609695.321
38	4603629.006
39	4594489.47
40	4586621.53
41	4578967.464
42	4573414.329
43	4563844.511
44	4554177.922
45	4544847.65
46	4537258.405
47	4524786.263
48	4516831.274
49	4510578.272
50	4505514.35
51	4502341.758
52	4497063.644
53	4487751.335
54	4484227.888
55	4476209.31
56	4468057.545
57	4461603.525
58	4457270.626
59	4453658.39
60	4449088.382
61	4439396.082
62	4434324.808
63	4430976.384
64	4424817.939
65	4420170.509
66	4413916.5
67	4409833.799
68	4408284.713
69	4401134.219
70	4399356.133
71	4395660.96
72	4391875.372
73	4387435.488
74	4386374.75
75	4384944.582
76	4381198.648
77	4379599.289
78	4375289.198
79	4370559.617
80	4363973.432
81	4360143.25
82	4356463.616
83	4353307.205
84	4348624.581
85	4342052.745
86	4338284.02
87	4333439.848
88	4329520.402
89	4326968.625
90	4320131.227
91	4315891.074
92	4314073.266
93	4308605.155
94	4303751.655
95	4298428.621
96	4294707.628
97	4292730.906
98	4285753.556
99	4283454.14
100	4280891.127
101	4276444.191
102	4274109.961
103	4269147.03
104	4264932.038
105	4260841.778
106	4256131.916
107	4252768.187
108	4248623.122
109	4243690.734
110	4239746.113
111	4235124.342
112	4231134.435
113	4227022.155
114	4220880.879
115	4217798.697
116	4213713.456
117	4212021.522
118	4209239.367
119	4204547.165
120	4201686.452
121	4197697.884
122	4194517.695
123	4192607.985
124	4190502.959
125	4187467.712
126	4180541.211
127	4178746.973
128	4175031.846
129	4171422.279
130	4167126.414
131	4163305.302
132	4156905.814
133	4155305.17
134	4151687.368
135	4150511.853
136	4147568.994
137	4145436.403
138	4139657.892
139	4135949.799
140	4132980.08
141	4128905.767
142	4126183.925
143	4122438.264
144	4119882.692
145	4115572.914
146	4112617.139
147	4111015.341
148	4107951.616
149	4104996.722
150	4102273.78
151	4101374.22
152	4099040.15
153	4097109.506
154	4096147.916
155	4091268.506
156	4087792.13
157	4085519.725
158	4081451.177
159	4075761.243
160	4073403.863
161	4071335.05
162	4066716.435
163	4064328.822
164	4059376.642
165	4056169.889
166	4053700.282
167	4053438.525
168	4051583.034
169	4049336.304
170	4044633.038
171	4041451.614
172	4038493.65
173	4034472.08
174	4032323.291
175	4028988.818
176	4025415.698
177	4024293.831
178	4021314.354
179	4017042.007
180	4012949.23
181	4011646.652
182	4008098.887
183	4006451.519
184	4003382.262
185	3998913.771
186	3994318.46
187	3993002.039
188	3989853.859
189	3986587.519
190	3981678.978
191	3980321.513
192	3977431.828
193	3974298.218
194	3971703.454
195	3970030.361
