iter	Passed	Remaining
0	11	11630
1	23	11855
2	38	12930
3	51	12826
4	64	12853
5	77	12854
6	92	13093
7	105	13079
8	117	12960
9	129	12789
10	146	13135
11	160	13247
12	178	13525
13	194	13693
14	211	13918
15	224	13817
16	242	14020
17	258	14086
18	271	14021
19	284	13953
20	301	14032
21	313	13937
22	329	13988
23	343	13977
24	358	13985
25	372	13963
26	388	13983
27	402	13969
28	417	13990
29	434	14061
30	446	13958
31	465	14081
32	482	14138
33	496	14094
34	509	14060
35	527	14127
36	541	14086
37	554	14037
38	569	14037
39	586	14073
40	601	14062
41	615	14035
42	632	14076
43	648	14091
44	665	14114
45	679	14089
46	692	14042
47	709	14071
48	725	14086
49	738	14035
50	752	13995
51	769	14027
52	783	14006
53	797	13968
54	813	13983
55	828	13968
56	844	13972
57	859	13951
58	874	13941
59	888	13915
60	902	13887
61	917	13878
62	931	13848
63	950	13895
64	964	13879
65	979	13854
66	994	13853
67	1007	13811
68	1024	13830
69	1038	13800
70	1051	13762
71	1068	13769
72	1083	13760
73	1100	13767
74	1115	13757
75	1131	13759
76	1147	13756
77	1165	13771
78	1181	13775
79	1194	13739
80	1210	13733
81	1225	13720
82	1239	13694
83	1255	13695
84	1268	13656
85	1284	13652
86	1304	13694
87	1327	13754
88	1344	13763
89	1360	13757
90	1378	13770
91	1396	13782
92	1411	13770
93	1428	13770
94	1444	13760
95	1459	13745
96	1475	13740
97	1491	13725
98	1506	13714
99	1521	13695
100	1540	13710
101	1556	13700
102	1572	13697
103	1590	13704
104	1606	13693
105	1621	13677
106	1636	13659
107	1652	13646
108	1669	13643
109	1683	13624
110	1700	13618
111	1714	13595
112	1728	13570
113	1744	13555
114	1757	13528
115	1774	13525
116	1789	13508
117	1804	13489
118	1820	13478
119	1835	13461
120	1854	13469
121	1870	13460
122	1885	13445
123	1899	13419
124	1914	13402
125	1929	13382
126	1943	13362
127	1959	13345
128	1973	13324
129	1988	13306
130	2003	13293
131	2016	13262
132	2035	13268
133	2049	13243
134	2065	13231
135	2079	13213
136	2093	13188
137	2109	13179
138	2127	13177
139	2143	13165
140	2157	13146
141	2171	13121
142	2185	13096
143	2198	13071
144	2215	13061
145	2229	13039
146	2245	13027
147	2260	13011
148	2273	12987
149	2290	12982
150	2306	12969
151	2322	12954
152	2337	12940
153	2354	12937
154	2369	12917
155	2386	12911
156	2398	12877
157	2412	12856
158	2425	12831
159	2441	12817
160	2455	12797
161	2468	12769
162	2481	12744
163	2496	12728
164	2515	12730
165	2532	12724
166	2548	12713
167	2564	12698
168	2577	12673
169	2592	12656
170	2605	12633
171	2622	12625
172	2636	12605
173	2653	12594
174	2665	12566
175	2678	12540
176	2693	12524
177	2707	12503
178	2721	12483
179	2737	12468
180	2753	12457
181	2767	12438
182	2781	12418
183	2796	12403
184	2811	12386
185	2825	12365
186	2839	12346
187	2859	12349
188	2881	12363
189	2900	12363
190	2914	12345
191	2929	12326
192	2945	12316
193	2959	12296
194	2974	12280
195	2988	12258
196	3005	12248
197	3020	12234
198	3037	12228
199	3052	12208
200	3065	12185
201	3080	12170
202	3096	12156
203	3111	12142
204	3129	12135
205	3144	12120
206	3160	12109
207	3176	12093
208	3189	12073
209	3202	12049
210	3216	12026
211	3230	12007
212	3245	11990
213	3261	11978
214	3275	11958
215	3290	11944
216	3302	11918
217	3316	11896
218	3328	11870
219	3345	11861
220	3365	11862
221	3382	11854
222	3398	11840
223	3413	11825
224	3427	11805
225	3440	11783
226	3458	11775
227	3472	11756
228	3489	11749
229	3504	11732
230	3518	11712
231	3533	11696
232	3549	11684
233	3564	11668
234	3579	11652
235	3594	11635
236	3607	11613
237	3622	11596
238	3633	11571
239	3649	11556
240	3662	11536
241	3679	11523
242	3693	11506
243	3707	11486
244	3723	11474
245	3737	11454
246	3751	11438
247	3765	11418
248	3779	11399
249	3793	11379
250	3808	11364
251	3824	11351
252	3842	11344
253	3858	11333
254	3874	11318
255	3887	11297
256	3902	11282
257	3919	11273
258	3936	11261
259	3953	11251
260	3967	11233
261	3982	11216
262	3998	11206
263	4013	11189
264	4029	11175
265	4046	11164
266	4061	11149
267	4078	11138
268	4093	11124
269	4107	11106
270	4124	11095
271	4142	11087
272	4159	11075
273	4173	11058
274	4188	11041
275	4199	11016
276	4214	11001
277	4227	10979
278	4242	10964
279	4258	10951
280	4274	10938
281	4289	10922
282	4300	10896
283	4317	10885
284	4331	10867
285	4347	10853
286	4362	10838
287	4378	10824
288	4393	10808
289	4409	10795
290	4426	10784
291	4443	10773
292	4456	10753
293	4468	10730
294	4480	10708
295	4495	10692
296	4512	10680
297	4528	10666
298	4542	10649
299	4556	10632
300	4571	10616
301	4586	10601
302	4601	10584
303	4618	10572
304	4633	10558
305	4649	10544
306	4664	10529
307	4678	10511
308	4692	10493
309	4706	10476
310	4719	10455
311	4733	10437
312	4747	10419
313	4763	10406
314	4780	10394
