Цена,Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Ссылка
5790000.0,Вторичное,опалиха,7.0,Московская область,1.0,26.6,5.0,23.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/261625484
5800000.0,Вторичное,павшино,5.0,Московская область,1.0,32.5,7.0,7.0,9.0,Косметический,https://www.cian.ru/sale/flat/285545264
5800000.0,Вторичное,павшино,12.0,Московская область,1.0,28.3,6.0,3.0,5.0,Без ремонта,https://www.cian.ru/sale/flat/293234464
5840000.0,Вторичное,павшино,4.0,Московская область,1.0,23.0,3.5,4.0,5.0,Косметический,https://www.cian.ru/sale/flat/293608468
5800000.0,Вторичное,павшино,10.0,Московская область,1.0,31.0,9.2,3.0,5.0,Косметический,https://www.cian.ru/sale/flat/282762534
6000000.0,Вторичное,павшино,4.0,Московская область,1.0,23.0,3.5,4.0,5.0,Косметический,https://www.cian.ru/sale/flat/289026331
6100000.0,Вторичное,опалиха,7.0,Московская область,1.0,30.5,9.5,13.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/284549479
6100000.0,Вторичное,опалиха,6.0,Московская область,1.0,39.0,9.9,7.0,18.0,Косметический,https://www.cian.ru/sale/flat/287042094
6100000.0,Вторичное,опалиха,6.0,Московская область,1.0,39.0,9.9,5.0,18.0,Косметический,https://www.cian.ru/sale/flat/288850799
6100000.0,Вторичное,опалиха,19.0,Московская область,1.0,32.0,9.3,1.0,7.0,Косметический,https://www.cian.ru/sale/flat/281828252
6200000.0,Вторичное,красногорская,7.0,Московская область,1.0,32.0,6.0,4.0,5.0,Евроремонт,https://www.cian.ru/sale/flat/291453922
6300000.0,Вторичное,павшино,7.0,Московская область,1.0,30.0,8.3,25.0,25.0,Косметический,https://www.cian.ru/sale/flat/287582466
6300000.0,Вторичное,пенягино,8.0,Московская область,1.0,19.5,8.3,2.0,22.0,Дизайнерский,https://www.cian.ru/sale/flat/293947482
6499000.0,Вторичное,красногорская,6.0,Московская область,1.0,34.7,10.0,11.0,16.0,Без ремонта,https://www.cian.ru/sale/flat/289032721
6500000.0,Вторичное,тушинская,17.0,Московская область,1.0,31.8,10.0,19.0,25.0,Косметический,https://www.cian.ru/sale/flat/290064837
6550000.0,Вторичное,опалиха,16.0,Московская область,1.0,34.0,11.0,4.0,12.0,Косметический,https://www.cian.ru/sale/flat/292758992
6650000.0,Вторичное,опалиха,16.0,Московская область,1.0,34.0,11.0,6.0,12.0,Косметический,https://www.cian.ru/sale/flat/292758995
6750000.0,Вторичное,опалиха,19.0,Московская область,1.0,34.0,6.0,1.0,6.0,Евроремонт,https://www.cian.ru/sale/flat/292041828
6800000.0,Вторичное,опалиха,7.0,Московская область,1.0,35.5,11.5,12.0,25.0,Косметический,https://www.cian.ru/sale/flat/291488975
6800000.0,Вторичное,опалиха,16.0,Московская область,1.0,40.8,14.9,2.0,8.0,Без ремонта,https://www.cian.ru/sale/flat/291782298
6800000.0,Вторичное,опалиха,15.0,Московская область,1.0,35.5,11.5,2.0,12.0,Без ремонта,https://www.cian.ru/sale/flat/291299457
6890000.0,Вторичное,тушинская,16.0,Московская область,1.0,35.4,8.4,4.0,14.0,Евроремонт,https://www.cian.ru/sale/flat/290832933
6800000.0,Вторичное,опалиха,5.0,Московская область,1.0,37.9,9.0,9.0,18.0,Косметический,https://www.cian.ru/sale/flat/292011779
6800000.0,Вторичное,павшино,14.0,Московская область,1.0,35.1,8.0,5.0,9.0,Косметический,https://www.cian.ru/sale/flat/290706444
6990000.0,Вторичное,красногорская,18.0,Московская область,1.0,29.0,5.0,5.0,5.0,Евроремонт,https://www.cian.ru/sale/flat/291879164
7000000.0,Вторичное,красногорская,8.0,Московская область,1.0,37.0,10.1,15.0,24.0,Косметический,https://www.cian.ru/sale/flat/268770283
7000000.0,Вторичное,опалиха,6.0,Московская область,1.0,32.6,8.7,3.0,9.0,Евроремонт,https://www.cian.ru/sale/flat/292157577
7000000.0,Вторичное,павшино,20.0,Московская область,1.0,46.0,8.0,11.0,25.0,Без ремонта,https://www.cian.ru/sale/flat/291067388
7000000.0,Вторичное,красногорская,11.0,Московская область,1.0,38.0,9.0,9.0,14.0,Косметический,https://www.cian.ru/sale/flat/280227033
7100000.0,Вторичное,опалиха,5.0,Московская область,1.0,39.6,8.2,2.0,18.0,Евроремонт,https://www.cian.ru/sale/flat/292409870
7200000.0,Вторичное,тушинская,17.0,Московская область,1.0,40.0,9.9,4.0,25.0,Косметический,https://www.cian.ru/sale/flat/293860038
7200000.0,Вторичное,опалиха,7.0,Московская область,1.0,35.6,11.4,7.0,24.0,Евроремонт,https://www.cian.ru/sale/flat/291680722
7200000.0,Вторичное,опалиха,6.0,Московская область,1.0,40.0,8.2,2.0,11.0,Евроремонт,https://www.cian.ru/sale/flat/293384589
7200000.0,Вторичное,красногорская,15.0,Московская область,1.0,32.0,6.0,3.0,5.0,Косметический,https://www.cian.ru/sale/flat/292329171
7200000.0,Вторичное,опалиха,6.0,Московская область,1.0,38.0,8.0,7.0,17.0,Косметический,https://www.cian.ru/sale/flat/292044627
7200000.0,Вторичное,красногорская,8.0,Московская область,1.0,39.5,9.9,2.0,18.0,Косметический,https://www.cian.ru/sale/flat/292248592
