Минут до метро,Количество комнат,Площадь,Этаж,Количество этажей,Цена
30.0,1.0,46.0,15.0,16,8990000.0
8.0,1.0,42.9,1.0,24,8999999.0
6.0,1.0,45.0,8.0,24,8950000.0
10.0,1.0,39.0,16.0,25,8900000.0
24.0,1.0,40.5,16.0,25,8900000.0
12.0,1.0,39.7,10.0,25,8950000.0
19.0,1.0,39.9,16.0,17,9050000.0
8.0,1.0,38.0,7.0,33,9000000.0
8.0,1.0,40.0,10.0,21,9249000.0
6.0,1.0,46.1,19.0,24,9300000.0
6.0,1.0,45.8,14.0,17,9300000.0
3.0,1.0,59.34,3.0,3,9316380.0
15.0,1.0,54.0,7.0,10,9300000.0
6.0,1.0,44.6,19.0,24,9350000.0
14.0,1.0,33.0,13.0,45,9400000.0
11.0,1.0,42.3,3.0,16,9500000.0
14.0,1.0,35.0,6.0,8,9500000.0
10.0,1.0,37.7,8.0,17,9500000.0
14.0,1.0,35.0,6.0,8,9500000.0
9.0,1.0,42.0,7.0,19,9500000.0
7.0,1.0,40.0,25.0,25,9500000.0
16.0,1.0,34.6,5.0,8,9499999.0
7.0,1.0,40.0,25.0,25,9500000.0
17.0,1.0,42.8,4.0,6,9499999.0
7.0,1.0,37.8,2.0,17,9500000.0
6.0,1.0,38.7,6.0,26,9600000.0
3.0,1.0,47.0,15.0,25,9600000.0
18.0,1.0,34.0,3.0,7,9550000.0
7.0,1.0,37.0,3.0,17,9600000.0
10.0,1.0,45.0,6.0,17,9700000.0
16.0,1.0,37.0,17.0,19,9700000.0
16.0,1.0,35.0,35.0,45,9700000.0
20.0,1.0,41.2,17.0,25,9700000.0
15.0,1.0,40.2,21.0,23,9800000.0
6.0,1.0,46.1,9.0,17,9800000.0
20.0,2.0,60.7,2.0,7,12550000.0
11.0,2.0,42.0,5.0,5,7500000.0
17.0,2.0,61.0,6.0,8,11690000.0
16.0,2.0,70.1,4.0,6,12700000.0
19.0,2.0,46.1,4.0,15,12650000.0
18.0,2.0,68.0,30.0,44,18000000.0
10.0,2.0,73.5,6.0,22,12546450.0
6.0,2.0,56.0,3.0,24,11500000.0
17.0,2.0,44.0,1.0,8,9500000.0
11.0,2.0,50.3,22.0,25,10500000.0
14.0,2.0,64.4,7.0,9,11190000.0
15.0,2.0,40.0,32.0,44,11500000.0
6.0,2.0,60.7,7.0,17,12500000.0
14.0,2.0,109.0,8.0,8,49500000.0
14.0,2.0,78.6,3.0,4,51500000.0
14.0,2.0,79.3,3.0,4,53000000.0
5.0,2.0,35.0,3.0,3,8000000.0
14.0,2.0,43.5,1.0,5,8500000.0
5.0,2.0,42.0,5.0,5,8800000.0
7.0,2.0,52.0,8.0,25,9650000.0
9.0,2.0,66.0,10.0,25,9800000.0
12.0,2.0,50.0,6.0,21,10000000.0
18.0,2.0,47.0,16.0,18,10300000.0
6.0,2.0,47.2,11.0,12,10500000.0
6.0,2.0,52.0,10.0,26,10700000.0
7.0,2.0,51.0,3.0,17,12300000.0
10.0,2.0,72.0,11.0,17,13900000.0
3.0,2.0,61.0,23.0,25,13990000.0
6.0,2.0,63.6,2.0,8,16300000.0
26.0,2.0,91.6,15.0,25,17500000.0
13.0,2.0,75.0,20.0,25,19900000.0
27.0,2.0,101.2,20.0,21,22300000.0
4.0,2.0,40.0,1.0,3,5500000.0
14.0,2.0,34.49,12.0,24,7200000.0
7.0,2.0,54.0,9.0,9,8800000.0
4.0,2.0,48.6,7.0,8,10599999.0
5.0,2.0,50.0,6.0,8,11000000.0
15.0,2.0,43.0,3.0,19,11000000.0
14.0,2.0,50.0,2.0,4,11000000.0
15.0,2.0,38.8,18.0,46,11000000.0
13.0,2.0,55.0,8.0,25,11250000.0
15.0,2.0,50.0,18.0,23,11600000.0
9.0,2.0,43.57,31.0,44,12000000.0
16.0,2.0,40.0,9.0,45,12800000.0
14.0,2.0,72.8,9.0,16,13900000.0
19.0,2.0,43.6,14.0,44,13900000.0
3.0,2.0,57.0,18.0,25,14000000.0
11.0,2.0,64.0,14.0,20,13990000.0
9.0,2.0,61.0,16.0,17,14300000.0
3.0,2.0,88.0,17.0,25,15500000.0
15.0,2.0,60.0,23.0,29,15991000.0
6.0,2.0,72.2,10.0,18,16400000.0
15.0,2.0,36.94,19.0,23,8200000.0
40.0,2.0,58.0,23.0,26,9600000.0
13.0,2.0,57.0,2.0,5,11300000.0
14.0,2.0,38.8,18.0,46,11500000.0
8.0,2.0,48.0,13.0,33,11500000.0
18.0,2.0,44.0,3.0,45,11950000.0
20.0,2.0,43.5,19.0,23,12300000.0
6.0,2.0,57.9,12.0,17,12400000.0
11.0,2.0,49.6,3.0,7,12400000.0
16.0,2.0,40.4,42.0,44,12450000.0
12.0,2.0,73.2,8.0,9,13300000.0
16.0,2.0,43.0,20.0,45,13760000.0
7.0,2.0,80.0,13.0,24,13800000.0
26.0,2.0,60.0,14.0,25,14500000.0
6.0,2.0,65.0,10.0,26,14500000.0
20.0,2.0,71.1,2.0,22,15399000.0
14.0,2.0,82.5,15.0,24,15800000.0
16.0,2.0,73.2,20.0,20,16000000.0
7.0,2.0,41.0,2.0,2,5550000.0
16.0,2.0,43.6,4.0,4,6500000.0
4.0,2.0,33.3,2.0,8,6600000.0
7.0,2.0,45.0,4.0,5,6950000.0
11.0,2.0,41.6,4.0,5,7350000.0
12.0,2.0,42.6,8.0,12,7500000.0
20.0,2.0,47.0,11.0,25,7500000.0
4.0,2.0,42.0,5.0,5,7700000.0
8.0,2.0,44.6,1.0,4,7700000.0
6.0,2.0,38.0,4.0,26,7800000.0
6.0,2.0,50.0,8.0,9,8000000.0
13.0,2.0,45.0,4.0,5,8000000.0
5.0,2.0,43.8,9.0,9,8300000.0
7.0,2.0,47.4,6.0,12,8500000.0
10.0,2.0,42.9,1.0,5,8600000.0
