const,Количество комнат,Площадь,Цена
1.0,2.0,64.4,11190000.0
1.0,2.0,40.0,11500000.0
1.0,2.0,60.7,12500000.0
1.0,2.0,109.0,49500000.0
1.0,2.0,78.6,51500000.0
1.0,2.0,79.3,53000000.0
1.0,2.0,35.0,8000000.0
1.0,2.0,43.5,8500000.0
1.0,2.0,42.0,8800000.0
1.0,2.0,52.0,9650000.0
1.0,2.0,66.0,9800000.0
1.0,2.0,50.0,10000000.0
1.0,2.0,47.0,10300000.0
1.0,2.0,47.2,10500000.0
1.0,2.0,52.0,10700000.0
1.0,2.0,51.0,12300000.0
1.0,2.0,72.0,13900000.0
1.0,2.0,61.0,13990000.0
1.0,2.0,63.6,16300000.0
1.0,2.0,91.6,17500000.0
1.0,2.0,75.0,19900000.0
1.0,2.0,101.2,22300000.0
1.0,2.0,40.0,5500000.0
1.0,2.0,34.49,7200000.0
1.0,2.0,54.0,8800000.0
1.0,2.0,48.6,10599999.0
1.0,2.0,50.0,11000000.0
1.0,2.0,43.0,11000000.0
1.0,2.0,50.0,11000000.0
1.0,2.0,38.8,11000000.0
1.0,2.0,55.0,11250000.0
1.0,2.0,50.0,11600000.0
1.0,2.0,43.57,12000000.0
1.0,2.0,40.0,12800000.0
1.0,2.0,72.8,13900000.0
1.0,2.0,43.6,13900000.0
1.0,2.0,57.0,14000000.0
1.0,2.0,64.0,13990000.0
1.0,2.0,61.0,14300000.0
1.0,2.0,88.0,15500000.0
1.0,2.0,60.0,15991000.0
1.0,2.0,72.2,16400000.0
1.0,2.0,36.94,8200000.0
1.0,2.0,58.0,9600000.0
1.0,2.0,57.0,11300000.0
1.0,2.0,38.8,11500000.0
1.0,2.0,48.0,11500000.0
1.0,2.0,44.0,11950000.0
1.0,2.0,43.5,12300000.0
1.0,2.0,57.9,12400000.0
1.0,2.0,49.6,12400000.0
1.0,2.0,40.4,12450000.0
1.0,2.0,73.2,13300000.0
1.0,2.0,43.0,13760000.0
1.0,2.0,80.0,13800000.0
1.0,2.0,60.0,14500000.0
1.0,2.0,65.0,14500000.0
1.0,2.0,71.1,15399000.0
1.0,2.0,82.5,15800000.0
1.0,2.0,73.2,16000000.0
1.0,2.0,41.0,5550000.0
1.0,2.0,43.6,6500000.0
1.0,2.0,33.3,6600000.0
1.0,2.0,45.0,6950000.0
1.0,2.0,41.6,7350000.0
1.0,2.0,42.6,7500000.0
1.0,2.0,47.0,7500000.0
1.0,2.0,42.0,7700000.0
1.0,2.0,44.6,7700000.0
1.0,2.0,38.0,7800000.0
1.0,2.0,50.0,8000000.0
1.0,2.0,45.0,8000000.0
1.0,2.0,43.8,8300000.0
1.0,2.0,47.4,8500000.0
1.0,2.0,42.9,8600000.0
1.0,2.0,50.0,8600000.0
1.0,2.0,44.0,8550000.0
1.0,2.0,51.6,8700000.0
1.0,2.0,53.4,8750000.0
1.0,2.0,48.6,8950000.0
1.0,2.0,54.0,9000000.0
1.0,2.0,42.6,9070000.0
1.0,2.0,60.9,9074100.0
1.0,2.0,44.8,9000000.0
1.0,2.0,60.0,9103900.0
1.0,2.0,53.1,9150000.0
1.0,2.0,52.0,9200000.0
1.0,2.0,48.8,9200000.0
1.0,2.0,47.2,9200000.0
1.0,2.0,57.0,9250000.0
1.0,2.0,40.0,9300000.0
1.0,2.0,53.9,9450000.0
1.0,2.0,41.7,9500000.0
1.0,2.0,48.0,9500000.0
1.0,2.0,52.0,9500000.0
1.0,2.0,47.0,9500000.0
1.0,2.0,45.1,9500000.0
1.0,2.0,47.9,9500000.0
1.0,2.0,35.0,9600000.0
1.0,2.0,52.1,9600000.0
1.0,2.0,60.9,9700000.0
1.0,2.0,47.1,9650000.0
1.0,2.0,66.0,9800000.0
1.0,2.0,45.0,9800000.0
1.0,2.0,57.9,9900000.0
1.0,2.0,55.3,9900000.0
1.0,2.0,43.5,9850000.0
1.0,2.0,53.7,9900000.0
1.0,2.0,43.5,9850000.0
1.0,2.0,51.0,10000000.0
1.0,2.0,52.0,10000000.0
1.0,2.0,53.4,9999000.0
1.0,2.0,60.2,10000000.0
1.0,2.0,53.2,10000000.0
1.0,2.0,40.1,10200000.0
1.0,2.0,53.4,10150000.0
1.0,2.0,48.2,10190000.0
1.0,2.0,54.8,10300000.0
1.0,2.0,56.0,10300000.0
1.0,2.0,38.6,10300000.0
1.0,2.0,61.8,10300000.0
1.0,2.0,55.2,10500000.0
1.0,2.0,57.0,10500000.0
1.0,2.0,60.0,10500000.0
