Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Цена
Новостройка,депо,19.0,Москва,0.0,28.61,9.0,6.0,11.0,Косметический,5435900.0
Новостройка,депо,19.0,Москва,1.0,35.15,8.9,3.0,11.0,Косметический,6256700.0
Новостройка,депо,19.0,Москва,1.0,35.15,8.9,8.0,11.0,Косметический,6432450.0
Новостройка,депо,19.0,Москва,0.0,27.25,8.9,8.0,11.0,Косметический,5177500.0
Новостройка,депо,19.0,Москва,1.0,46.17,18.7,23.0,11.0,Косметический,8633790.0
Новостройка,депо,19.0,Москва,0.0,27.25,8.9,2.0,11.0,Косметический,5177500.0
Новостройка,депо,19.0,Москва,0.0,28.68,9.0,13.0,11.0,Косметический,5563920.0
Новостройка,депо,19.0,Москва,1.0,37.4,11.0,7.0,11.0,Косметический,6657200.0
Новостройка,депо,19.0,Москва,1.0,43.6,17.8,7.0,11.0,Косметический,7586400.0
Новостройка,депо,19.0,Москва,1.0,37.4,11.0,8.0,11.0,Косметический,6844200.0
Новостройка,депо,19.0,Москва,0.0,27.7,8.9,8.0,11.0,Косметический,5124500.0
Новостройка,депо,19.0,Москва,0.0,27.85,8.9,10.0,11.0,Косметический,5291500.0
