Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Цена
Новостройка,домодедовская,8.0,Московская область,3.0,68.54,12.3,5.0,15.0,Косметический,9731743.0
Новостройка,домодедовская,8.0,Московская область,3.0,64.6,12.0,5.0,15.0,Косметический,9329388.0
Новостройка,домодедовская,8.0,Московская область,3.0,66.74,12.2,1.0,15.0,Косметический,8913887.0
Новостройка,домодедовская,8.0,Московская область,2.0,61.73,11.7,1.0,15.0,Косметический,6581804.0
Новостройка,домодедовская,8.0,Московская область,1.0,33.58,9.4,8.0,15.0,Косметический,5715034.0
Новостройка,домодедовская,8.0,Московская область,2.0,46.59,10.5,8.0,15.0,Косметический,7570674.0
Новостройка,улица старокачаловская,8.0,Московская область,2.0,35.51,9.6,2.0,14.0,Косметический,5458939.0
Новостройка,улица старокачаловская,8.0,Московская область,2.0,53.46,11.1,1.0,14.0,Косметический,6905247.0
Новостройка,улица старокачаловская,8.0,Московская область,2.0,53.46,11.1,1.0,14.0,Косметический,6905247.0
Новостройка,зябликово,15.0,Москва,2.0,59.2,13.5,10.0,14.0,Косметический,13160160.0
Новостройка,депо,20.0,Москва,1.0,35.6,16.4,12.0,11.0,Косметический,7255280.0
Новостройка,перерва,17.0,Москва,1.0,33.6,10.7,25.0,23.0,Косметический,8625120.0
Новостройка,красногвардейская,15.0,Московская область,3.0,79.6,13.2,9.0,20.0,Косметический,6618740.0
Новостройка,зябликово,9.0,Московская область,2.0,48.1,6.7,5.0,14.0,Косметический,6493500.0
Новостройка,домодедовская,13.0,Московская область,1.0,35.9,14.4,9.0,15.0,Косметический,5200000.0
Новостройка,котельники,9.0,Московская область,3.0,75.2,12.9,25.0,17.0,Косметический,8734600.0
Новостройка,котельники,9.0,Московская область,0.0,27.5,8.9,25.0,17.0,Косметический,4317500.0
Новостройка,котельники,9.0,Московская область,2.0,58.7,11.5,25.0,17.0,Косметический,7454900.0
Новостройка,котельники,9.0,Московская область,1.0,37.7,9.8,22.0,17.0,Косметический,5843500.0
Новостройка,котельники,10.0,Московская область,3.0,76.64,13.0,3.0,17.0,Косметический,7817280.0
Новостройка,котельники,10.0,Московская область,1.0,37.81,9.8,5.0,17.0,Косметический,5331210.0
Новостройка,котельники,10.0,Московская область,2.0,54.16,11.1,8.0,17.0,Косметический,6932480.0
Новостройка,котельники,10.0,Московская область,3.0,76.64,13.0,10.0,17.0,Косметический,7970560.0
Новостройка,котельники,10.0,Московская область,0.0,27.59,8.9,12.0,17.0,Косметический,4304040.0
Новостройка,котельники,10.0,Московская область,2.0,54.16,11.1,12.0,17.0,Косметический,6932480.0
Новостройка,котельники,10.0,Московская область,2.0,55.18,11.2,5.0,17.0,Косметический,7007860.0
Новостройка,котельники,10.0,Московская область,1.0,36.78,9.7,8.0,17.0,Косметический,5185980.0
Новостройка,котельники,10.0,Московская область,0.0,28.61,9.0,10.0,17.0,Косметический,4377330.0
Новостройка,котельники,10.0,Московская область,1.0,41.89,10.1,3.0,17.0,Косметический,5403810.0
Новостройка,котельники,10.0,Московская область,1.0,34.74,9.5,9.0,17.0,Косметический,5106780.0
Новостройка,котельники,10.0,Московская область,2.0,54.16,11.1,15.0,17.0,Косметический,6824160.0
Новостройка,котельники,10.0,Московская область,1.0,41.89,10.1,20.0,17.0,Косметический,5320030.0
Новостройка,котельники,10.0,Московская область,2.0,58.24,11.5,9.0,17.0,Косметический,6988800.0
Новостройка,котельники,10.0,Московская область,2.0,54.16,11.1,11.0,17.0,Косметический,6715840.0
Новостройка,котельники,10.0,Московская область,2.0,58.24,11.5,14.0,17.0,Косметический,6872320.0
Новостройка,котельники,10.0,Московская область,2.0,60.29,11.6,17.0,17.0,Косметический,6873060.0
Новостройка,котельники,10.0,Московская область,2.0,51.09,10.9,9.0,17.0,Косметический,6437340.0
Новостройка,котельники,10.0,Московская область,3.0,79.7,13.2,11.0,17.0,Косметический,8049700.0
Новостройка,котельники,10.0,Московская область,1.0,35.76,9.6,15.0,17.0,Косметический,5113680.0
Новостройка,котельники,10.0,Московская область,3.0,81.74,13.4,17.0,17.0,Косметический,7928780.0
Новостройка,котельники,10.0,Московская область,3.0,79.7,13.2,17.0,17.0,Косметический,7890300.0
Новостройка,котельники,10.0,Московская область,1.0,34.74,9.5,19.0,17.0,Косметический,4863600.0
Новостройка,котельники,10.0,Московская область,2.0,60.29,11.6,4.0,17.0,Косметический,6692190.0
Новостройка,котельники,10.0,Московская область,2.0,58.24,11.5,7.0,17.0,Косметический,6988800.0
Новостройка,котельники,10.0,Московская область,3.0,79.6,13.2,2.0,17.0,Косметический,7641600.0
Новостройка,котельники,10.0,Московская область,3.0,80.55,13.3,2.0,17.0,Косметический,7652250.0
Новостройка,котельники,10.0,Московская область,3.0,79.64,13.2,5.0,17.0,Косметический,8043640.0
Новостройка,котельники,10.0,Московская область,3.0,79.64,13.2,8.0,17.0,Косметический,8043640.0
