Станция метро,Минут до метро,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Тип квартиры_Вторичное,Тип квартиры_Новостройка,Регион_Москва,Регион_Московская область,Ремонт_Без ремонта,Ремонт_Дизайнерский,Ремонт_Евроремонт,Ремонт_Косметический,Цена
173,15.0,1.0,35.5,11.5,2.0,12.0,1,0,0,1,1,0,0,0,6800000.0
265,16.0,1.0,35.4,8.4,4.0,14.0,1,0,0,1,0,0,1,0,6890000.0
173,5.0,1.0,37.9,9.0,9.0,18.0,1,0,0,1,0,0,0,1,6800000.0
180,14.0,1.0,35.1,8.0,5.0,9.0,1,0,0,1,0,0,0,1,6800000.0
99,18.0,1.0,29.0,5.0,5.0,5.0,1,0,0,1,0,0,1,0,6990000.0
99,8.0,1.0,37.0,10.1,15.0,24.0,1,0,0,1,0,0,0,1,7000000.0
173,6.0,1.0,32.6,8.7,3.0,9.0,1,0,0,1,0,0,1,0,7000000.0
180,20.0,1.0,46.0,8.0,11.0,25.0,1,0,0,1,1,0,0,0,7000000.0
99,12.0,1.0,38.0,9.0,9.0,14.0,1,0,0,1,0,0,0,1,7000000.0
173,5.0,1.0,39.6,8.2,2.0,18.0,1,0,0,1,0,0,1,0,7100000.0
265,17.0,1.0,40.0,9.9,4.0,25.0,1,0,0,1,0,0,0,1,7200000.0
173,7.0,1.0,35.6,11.4,7.0,24.0,1,0,0,1,0,0,1,0,7200000.0
173,6.0,1.0,40.0,8.2,2.0,11.0,1,0,0,1,0,0,1,0,7200000.0
99,15.0,1.0,32.0,6.0,3.0,5.0,1,0,0,1,0,0,0,1,7200000.0
173,6.0,1.0,38.0,8.0,7.0,17.0,1,0,0,1,0,0,0,1,7200000.0
99,8.0,1.0,39.5,9.9,2.0,18.0,1,0,0,1,0,0,0,1,7200000.0
173,6.0,1.0,38.4,10.4,14.0,26.0,1,0,0,1,0,0,1,0,7290000.0
173,5.0,1.0,39.3,13.2,22.0,25.0,1,0,0,1,0,0,1,0,7300000.0
180,7.0,1.0,39.3,9.4,3.0,14.0,1,0,0,1,0,0,0,1,7300000.0
173,6.0,1.0,39.5,15.1,22.0,25.0,1,0,0,1,0,0,0,1,7400000.0
99,6.0,1.0,34.0,8.0,9.0,9.0,1,0,0,1,0,0,1,0,7400000.0
173,4.0,1.0,32.0,10.0,2.0,8.0,1,0,0,1,1,0,0,0,7499000.0
173,10.0,1.0,32.2,9.1,9.0,12.0,1,0,0,1,0,0,1,0,7450000.0
180,12.0,1.0,32.0,10.0,7.0,21.0,1,0,0,1,0,0,1,0,7500000.0
138,12.0,1.0,57.0,12.0,1.0,10.0,1,0,0,1,0,0,0,1,7500000.0
173,6.0,1.0,37.4,11.1,5.0,25.0,1,0,0,1,1,0,0,0,7500000.0
173,6.0,1.0,34.0,10.0,20.0,27.0,1,0,0,1,0,0,0,1,7500000.0
99,4.0,1.0,34.6,7.0,12.0,12.0,1,0,0,1,0,0,1,0,7500000.0
173,6.0,1.0,35.5,9.0,8.0,25.0,1,0,0,1,0,0,1,0,7590000.0
99,6.0,1.0,39.0,9.0,3.0,18.0,1,0,0,1,0,0,0,1,7600000.0
173,5.0,1.0,46.8,7.7,1.0,10.0,1,0,0,1,0,0,0,1,7720000.0
173,7.0,1.0,38.8,13.3,24.0,25.0,1,0,0,1,0,0,0,1,7700000.0
173,6.0,1.0,38.1,10.0,20.0,26.0,1,0,0,1,0,0,1,0,7650000.0
173,7.0,1.0,34.6,10.0,25.0,26.0,1,0,0,1,0,0,1,0,7750000.0
180,4.0,1.0,39.4,9.9,12.0,12.0,1,0,0,1,0,0,0,1,7800000.0
99,6.0,1.0,40.4,11.1,1.0,17.0,1,0,0,1,0,0,0,1,7800000.0
9,6.0,1.0,39.5,12.0,20.0,26.0,1,0,0,1,0,0,0,1,7800000.0
99,12.0,1.0,41.1,10.0,8.0,14.0,1,0,0,1,0,0,0,1,7750000.0
173,6.0,1.0,37.0,9.1,24.0,26.0,1,0,0,1,0,1,0,0,7800000.0
180,11.0,1.0,33.4,9.4,2.0,8.0,1,0,0,1,0,0,1,0,7950000.0
180,7.0,1.0,36.0,8.0,3.0,4.0,1,0,0,1,0,0,1,0,7900000.0
173,16.0,1.0,34.1,9.0,1.0,8.0,1,0,0,1,0,0,1,0,7900000.0
99,12.0,1.0,37.6,9.8,4.0,24.0,1,0,0,1,0,0,0,1,7900000.0
173,12.0,1.0,33.7,9.4,10.0,12.0,1,0,0,1,0,0,1,0,7999000.0
99,20.0,1.0,40.0,19.0,5.0,9.0,1,0,0,1,0,0,1,0,8000000.0
173,19.0,1.0,33.0,9.4,6.0,10.0,1,0,0,1,0,0,1,0,8000000.0
173,14.0,1.0,33.5,9.0,1.0,8.0,1,0,0,1,0,0,1,0,8000000.0
173,4.0,1.0,38.4,9.8,2.0,8.0,1,0,0,1,1,0,0,0,8100000.0
99,8.0,1.0,47.8,11.6,2.0,7.0,1,0,0,1,0,1,0,0,8199000.0
173,6.0,1.0,47.2,12.0,19.0,26.0,1,0,0,1,0,0,0,1,8200000.0
138,7.0,1.0,35.3,8.3,5.0,17.0,1,0,0,1,0,0,1,0,8200000.0
180,12.0,1.0,30.0,9.1,10.0,21.0,1,0,0,1,0,1,0,0,8150000.0
173,6.0,1.0,38.6,9.3,18.0,25.0,1,0,0,1,0,0,1,0,8290000.0
244,8.0,1.0,34.1,11.2,21.0,16.0,1,0,0,1,0,1,0,0,8290000.0
173,7.0,1.0,34.2,12.0,4.0,26.0,1,0,0,1,0,0,1,0,8300000.0
185,14.0,1.0,31.9,10.0,11.0,16.0,1,0,0,1,0,0,1,0,8490000.0
173,6.0,1.0,43.5,10.2,3.0,8.0,1,0,0,1,1,0,0,0,8400000.0
180,6.0,1.0,44.0,20.0,17.0,17.0,1,0,0,1,0,0,0,1,8500000.0
173,6.0,1.0,36.4,9.7,3.0,25.0,1,0,0,1,0,1,0,0,8500000.0
138,12.0,1.0,39.2,10.4,14.0,25.0,1,0,0,1,0,0,1,0,8500000.0
173,6.0,1.0,48.5,13.5,15.0,17.0,1,0,0,1,0,0,1,0,8600000.0
99,10.0,1.0,44.0,10.0,5.0,14.0,1,0,0,1,0,0,1,0,8600000.0
173,5.0,1.0,47.6,11.5,18.0,25.0,1,0,0,1,0,0,1,0,8700000.0
180,8.0,1.0,41.6,18.0,20.0,23.0,1,0,0,1,0,0,0,1,8700000.0
180,5.0,1.0,37.9,9.8,1.0,12.0,1,0,0,1,0,0,0,1,8700000.0
99,6.0,1.0,43.0,11.0,2.0,14.0,1,0,0,1,0,0,0,1,8700000.0
145,16.0,1.0,36.3,8.0,4.0,19.0,1,0,0,1,1,0,0,0,8690000.0
99,7.0,1.0,48.0,13.0,10.0,17.0,1,0,0,1,0,0,1,0,8875000.0
