iter	MAE
131	2096287.842
132	2093972.815
133	2093356.434
134	2086216.525
135	2085640.114
136	2084299.637
137	2083763.692
138	2082107.917
139	2081372.371
140	2079505.612
141	2079054.21
142	2078313.397
143	2077442.168
144	2074821.95
145	2074290.14
146	2073715.661
147	2071976.041
148	2071141.987
149	2070322.574
150	2068326.518
151	2067575.284
152	2065742.029
153	2064230.627
154	2063780.301
155	2062840.479
156	2062011.384
157	2061067.942
158	2058255.559
159	2057908.39
160	2054334.74
161	2053105.725
162	2050932.049
163	2049237.833
164	2046943.961
165	2045268.734
166	2042847.618
167	2042197.236
168	2041588.836
169	2038796.076
170	2038302.672
171	2037311.281
172	2036895.55
173	2036012.986
174	2033827.882
175	2033347.041
176	2032381.333
177	2031831.457
178	2030748.719
179	2027282.4
180	2026501.553
181	2025645.717
182	2022646.397
183	2021175.768
184	2019640.961
185	2018332.755
186	2017282.252
187	2015188.265
188	2014740.864
189	2013834.571
190	2013314.63
191	2012548.199
192	2012198.36
193	2010052.045
194	2008829.367
195	2007900.294
196	2005684.376
197	2004565.529
198	2000021.344
199	1999107.462
200	1998114.028
201	1996132.73
202	1994258.954
203	1992178.451
204	1991048.506
205	1989860.265
206	1989041.294
207	1988482.724
208	1987923.389
209	1986312.859
210	1985151.306
211	1984681.599
212	1984315.034
213	1983721.254
214	1982788.599
215	1981854.344
216	1980591.695
217	1980059.251
218	1978956.724
219	1978164.629
220	1976614.12
221	1974756.808
222	1974539.738
223	1973872.28
224	1972890.886
225	1972444.53
226	1971728.517
227	1971325.403
228	1970990.393
229	1970695.276
230	1970465.982
231	1969850.956
232	1969293.345
233	1968803.926
234	1968208.422
235	1967736.792
236	1966746.561
237	1964379.34
238	1962772.715
239	1961542.455
240	1960225.141
241	1959097.282
242	1957906.01
243	1956430.491
244	1956136.226
245	1955481.449
246	1955191.564
247	1953140.935
248	1951687.067
249	1951586.328
250	1951346.773
251	1950514.018
252	1949584.72
253	1949352.93
254	1948070.62
255	1947632.969
256	1946854.218
257	1945998.169
258	1945441.878
259	1944940.526
260	1944406.805
261	1944213.071
262	1943286.354
263	1942492.12
264	1941471.647
265	1939803.893
266	1939473.784
267	1938404.562
268	1938339.623
269	1937649.537
270	1936821.483
271	1935897.339
272	1935726.791
273	1934367.48
274	1934017.891
275	1933792.983
276	1933246.243
277	1931725.328
278	1930631.811
279	1930378.839
280	1929349.41
281	1929217.88
282	1928739.632
283	1928502.924
284	1927303.084
285	1926572.509
286	1926318.078
287	1925971.257
288	1925035.613
289	1924387.434
290	1923532.537
291	1922218.147
292	1921624.313
293	1920740.382
294	1919635.006
295	1919216.713
296	1918969.519
297	1918419.698
298	1918153.505
299	1917972.44
300	1917444.215
301	1916815.799
302	1915180.177
303	1915130.447
304	1914592.276
305	1914110.843
306	1913430.824
307	1912332.991
308	1912313.809
309	1911257.75
310	1910763.785
311	1910504.379
312	1910307.585
313	1909779.187
314	1909379.688
315	1907602.887
316	1907099.974
317	1906312.705
318	1905757.606
319	1905485.752
320	1904528.883
321	1904239.006
322	1903619.381
323	1903245.395
324	1903034.461
325	1902517.39
326	1902003.515
327	1901006.141
328	1900362.143
329	1899690.97
330	1899311.095
331	1898671.557
332	1897915.684
333	1897741.423
334	1896832.963
335	1895356.704
336	1895196.548
337	1894474.686
338	1893150.857
339	1893106.116
340	1892194.671
341	1891454.75
342	1891016.872
343	1890497.326
344	1890298.688
345	1889479.145
346	1889207.756
347	1886480.681
348	1885222.529
349	1885054.314
350	1884202.848
351	1883990.605
352	1882240.255
353	1882009.165
354	1881842.854
355	1881561.179
356	1881157.467
357	1880813.391
358	1880317.082
359	1879834.804
360	1878471.676
361	1878240.211
362	1877989.904
363	1876973.127
364	1876780.794
365	1876057.602
366	1875442.099
367	1875309.034
368	1874744.181
369	1873318.179
370	1872483.125
371	1872213.71
372	1872023.126
373	1871321.455
374	1870929.717
375	1870427.29
376	1869858.148
377	1869442.792
378	1869179.127
379	1869142.058
380	1868563.498
381	1868147.856
382	1867486.156
383	1867031.874
384	1866244.032
385	1866112.927
386	1865939.84
387	1865166.038
388	1864439.986
389	1863760.858
390	1863524.042
391	1862878.085
392	1861534.174
393	1860520.954
394	1860334.114
395	1860125.195
396	1859707.211
397	1858376.32
398	1857093.02
399	1856657.602
400	1856611.723
401	1856307.801
402	1855661.585
403	1855191.392
404	1854382.854
405	1854191.254
406	1853209.525
407	1852983.22
408	1852779.9
409	1852365.818
410	1852298.899
411	1851753.656
412	1850867.619
413	1850583.683
414	1849388.854
415	1849222.403
416	1849140.475
417	1848810.44
418	1848620.055
419	1848197.082
420	1847969.141
421	1847747.623
422	1847312.272
423	1846999.431
424	1846752.466
425	1846410.181
426	1846136.836
427	1845984.143
428	1844477.27
429	1844104.637
430	1843804.561
431	1843652.065
432	1843435.939
433	1842914.904
434	1842748.271
435	1842304.858
436	1841972.292
437	1841738.035
438	1841206.383
439	1840667.949
440	1839316.286
441	1839067.773
442	1838695.285
443	1838380.013
444	1837857.391
445	1837433.847
446	1837238.906
447	1837056.255
448	1836696.309
449	1836468.796
450	1835722.793
451	1835339.689
452	1835098.87
453	1834556.222
454	1834239.342
455	1833077.8
456	1832716.441
457	1832146.162
458	1831822.331
459	1831581.474
460	1829640.771
461	1828704.941
462	1828393.833
463	1827478.461
464	1827262.891
465	1827171.702
466	1826581.412
467	1826208.596
468	1826122.335
469	1826006.904
470	1825740.296
471	1825501.575
472	1825321.96
473	1825155.153
474	1824832.872
475	1824131.75
476	1824079.378
477	1823921.449
478	1823765.957
479	1823260.623
480	1822625.747
481	1822137.92
482	1820865.454
483	1820408.808
484	1820178.847
485	1820017.008
486	1819338.729
487	1818812.77
488	1818482.284
489	1817783.405
490	1817660.663
491	1817594.599
492	1816732.059
493	1815750.673
494	1815495.347
495	1815103.916
496	1815019.351
497	1813215.724
498	1812870.495
499	1812370.825
500	1811989.818
501	1811285.245
502	1810955.068
503	1810560.342
504	1809765.21
505	1809307.816
506	1808979.061
507	1808891.282
508	1808322.34
509	1808136.216
510	1808062.108
511	1808027.629
512	1807672.042
513	1806810.396
514	1806015.851
515	1805400.066
516	1805189.837
517	1805054.598
518	1804911.406
519	1804631.301
520	1804406.288
521	1804063.645
522	1801727.23
523	1801216.156
524	1799089.75
525	1798884.468
526	1798104.044
527	1797804.237
528	1797694.824
529	1797198.244
530	1796764.584
531	1796747.001
532	1796105.028
533	1795987.593
534	1795646.653
535	1795485.573
536	1795132.545
537	1794916.493
538	1794756.865
539	1794545.339
540	1794153.962
541	1793875.615
542	1793833.381
543	1793694.91
544	1792651.25
545	1792337.599
546	1792041.689
547	1791560.694
548	1791475.888
549	1791238.105
550	1790722.233
551	1790216.645
552	1790148.97
553	1789864.812
554	1789610.515
555	1789219.029
556	1788176.911
557	1787407.726
558	1787302.19
559	1787179.226
560	1786960.729
561	1786199.562
562	1786026.09
563	1785917.791
564	1785582.978
565	1785488.287
566	1784821.507
567	1784790.847
568	1784620.607
569	1784378.875
570	1784186.086
571	1784140.204
572	1784100.38
573	1783984.591
574	1783821.615
575	1783510.379
576	1783359.408
577	1783079.145
578	1782850.251
579	1782657.681
580	1782591.191
581	1782086.153
582	1781976.548
583	1781900.109
584	1781442.704
585	1781228.056
586	1780464.994
587	1780318.046
588	1780117.044
589	1780056.599
590	1779878.681
591	1779206.412
592	1778814.648
593	1778657.563
594	1778462.897
595	1778131.592
596	1777618.052
597	1777434.265
598	1777357.122
599	1777248.134
600	1776971.647
601	1776588.763
602	1776176.57
603	1775749.549
604	1775064.921
605	1774473.949
606	1774232.669
607	1773730.596
608	1773624.491
609	1773496.092
610	1773351.757
611	1772799.238
612	1772728.637
613	1772487.395
614	1772435.834
615	1772356.416
616	1772073.071
617	1771926.777
618	1771333.722
619	1771014.237
620	1770782.018
621	1770381.734
622	1769904.537
623	1769745.429
624	1769494.289
625	1769092.364
626	1768974.944
627	1768910.747
628	1768844.013
629	1768460.41
630	1767342.929
631	1767144.597
632	1766526.632
633	1766489.733
634	1766326.73
635	1765930.558
636	1765806.755
637	1765572.933
638	1765226.023
639	1764975.6
640	1764814.879
641	1763942.062
642	1763650.966
643	1763151.235
644	1762756.197
645	1762685.879
646	1762487.836
647	1762047.621
648	1761685.197
649	1761239.098
650	1760979.857
651	1760829.819
652	1760484.675
653	1760339.958
654	1759927.53
655	1759770.349
656	1759609.951
657	1759247.328
658	1759102.967
659	1758980.464
660	1758226.38
661	1758143.635
662	1757635.714
663	1757170.649
664	1757023.459
665	1756945.804
666	1756624.706
667	1756528.084
668	1756473.199
669	1755745.403
670	1755014.626
671	1754687.22
672	1754628.763
673	1754572.699
674	1754344.669
675	1754230.576
676	1754113.801
677	1753791.461
678	1753659.684
679	1753417.123
680	1753197.185
681	1753042.058
682	1752928.342
683	1752825.259
684	1752614.015
685	1752485.522
686	1752348.974
687	1752219.348
688	1751614.462
689	1751504.428
690	1751333.237
691	1749994.553
692	1749959.045
693	1749830.057
694	1749369.344
695	1749118.513
696	1748518.159
697	1748104.475
698	1747729.294
699	1747477.582
700	1747285.569
701	1746906.481
702	1746853.642
703	1746170.212
704	1745686.158
705	1745137.955
706	1745078.765
707	1744705.729
708	1744597.404
709	1744439.4
710	1744257.479
711	1743841.097
712	1743677.824
713	1743493.731
714	1743364.288
715	1742779.901
716	1742631.239
717	1742504.821
718	1742293.757
719	1742213.363
720	1742011.245
721	1741583.783
722	1741419.731
723	1740733.091
724	1740296.598
725	1740191.251
726	1740060.197
727	1739892.872
728	1739288.791
729	1739089.426
730	1738955.427
731	1738790.41
732	1738569.401
733	1738462.54
734	1737743.052
735	1737357.739
736	1736923.441
737	1736742.179
738	1736593.085
739	1735739.708
740	1735406.666
741	1734780.175
742	1734513.506
743	1733927.639
744	1733684.209
745	1733594.289
746	1733414.12
747	1733211.157
748	1732989.08
749	1732566.171
750	1732227.745
751	1731908.426
752	1731739.67
753	1730695.267
754	1730242.039
755	1730008.066
756	1729448.487
757	1729203.122
758	1728931.679
759	1728901.134
760	1728415.487
761	1728344.671
762	1727932.074
763	1727841.318
764	1727470.383
765	1727168.136
766	1726834.227
767	1726641.616
768	1726361.626
769	1726293.154
770	1726027.17
771	1726003.183
772	1725727.318
773	1725233.507
774	1725139.516
775	1724944.175
776	1724458.64
777	1724283.799
778	1724031.781
779	1723434.582
780	1723285.723
781	1723085.287
782	1722893.325
783	1722776.543
784	1722641.333
785	1722325.302
786	1722177.823
787	1722042.737
788	1721833.463
789	1721794.105
790	1721743.754
791	1721560.617
792	1721296.817
793	1720871.604
794	1720644.61
795	1720407.364
796	1719984.053
797	1719811.809
798	1719591.413
799	1718538.08
800	1718316.144
801	1717996.627
802	1717944.001
803	1717594.549
804	1717564.462
805	1716831.186
806	1716587.354
807	1716458.188
808	1716246.772
809	1715986.27
810	1715932.41
811	1715651.523
812	1715564.622
813	1715397.204
814	1715271.505
815	1714905.818
816	1714757.929
817	1714509.182
818	1714363.883
819	1713544.336
820	1712920.441
821	1712800
822	1712556.462
823	1712393.547
824	1711806.647
825	1711674.919
826	1711564.476
827	1711511.295
828	1711440.986
829	1711116.185
830	1711052.157
831	1710779.697
832	1710609.462
833	1710249.352
834	1709407.722
835	1709169.944
836	1709078.933
837	1708900.75
838	1708729.754
839	1708500.481
840	1708274.939
841	1708140.591
842	1707874.845
843	1707628.552
844	1706810.274
845	1706678.768
846	1706289.393
847	1705618.353
848	1705397.807
849	1705254.588
850	1705051.65
851	1705032.28
852	1704993.134
853	1704975.336
854	1704961.62
855	1704824.359
856	1704600.092
857	1703629.848
858	1703438.209
859	1703238.842
860	1702595.491
861	1702112.161
862	1701947.028
863	1701907.387
864	1701217.91
865	1701059.183
866	1700747.812
867	1700405.119
868	1700238.071
869	1700190.41
870	1700095.453
871	1700028.482
872	1699565.555
873	1699242.558
874	1699216.685
875	1699165.934
876	1699108.124
877	1699013.334
878	1698853.298
879	1698805.725
880	1698339.936
881	1697889.072
882	1697821.301
883	1697778.077
884	1697671.986
885	1697595.292
886	1696967.064
887	1696905.464
888	1696800.407
889	1696568.367
890	1696281.963
891	1696202.29
892	1696029.947
893	1695673.452
894	1695571.105
895	1695227.934
896	1695043.544
897	1694923.8
898	1694878.964
899	1694685.318
900	1694646.751
901	1694495.271
902	1694403.079
903	1694005.995
904	1693326.497
905	1693231.528
906	1692872.002
907	1692848.88
908	1692518.797
909	1692290.584
910	1691720.603
911	1691510.766
912	1691326.345
913	1691302.155
914	1690863.897
915	1690835.727
916	1690764.091
917	1690309.68
918	1690024.665
919	1689391.548
920	1689254.512
921	1689120.094
922	1689113.144
923	1688896.772
924	1688714.41
925	1688107.42
926	1687960.401
927	1687857.591
928	1687797.612
929	1687542.575
930	1687489.282
931	1687471.007
932	1687301.084
933	1686983.858
934	1686686.833
935	1686351.23
936	1686180.804
937	1686113.166
938	1685852.306
939	1685613.393
940	1685444.381
941	1685108.5
942	1684869.915
943	1684394.332
944	1684204.177
945	1683995.601
946	1683944.687
947	1683917.709
948	1683763.064
949	1683717.582
950	1683217.639
951	1682562.166
952	1681904.706
953	1681789.799
954	1681653.09
955	1681614.226
956	1681246.256
957	1681088.172
958	1681004.872
959	1680636.999
960	1680457.405
961	1680238.514
962	1680133.848
963	1680104.354
964	1679688.629
965	1679589.404
966	1679547.118
967	1679270.032
968	1679234.004
969	1679132.835
970	1679118.774
971	1679051.513
972	1678854.392
973	1678262.155
974	1678231.302
975	1678144.283
976	1677889.096
977	1677240.332
978	1677103.654
979	1676301.246
980	1676164.013
981	1676100.55
982	1675553.773
983	1675409.314
984	1674983.158
985	1674866.415
986	1674842.082
987	1674747.291
988	1673122.936
989	1672638.808
990	1672520.743
991	1672434.663
992	1672294.438
993	1672250.68
994	1672205.158
995	1670830.614
996	1670811.952
997	1670233.612
998	1670166.508
999	1669982.869
