iter	Passed	Remaining
0	11	11352
1	24	12164
2	39	12967
3	51	12744
4	62	12459
5	77	12898
6	92	13147
7	107	13354
8	121	13342
9	133	13203
10	150	13533
11	168	13896
12	185	14105
13	200	14113
14	216	14222
15	235	14493
16	251	14539
17	268	14631
18	285	14721
19	300	14712
20	314	14684
21	329	14659
22	345	14656
23	358	14597
24	374	14604
25	387	14519
26	402	14487
27	416	14456
28	430	14412
29	445	14400
30	461	14421
31	477	14431
32	490	14380
33	506	14386
34	520	14345
35	533	14294
36	548	14282
37	563	14277
38	578	14254
39	592	14225
40	606	14174
41	620	14145
42	632	14087
43	649	14114
44	667	14176
45	680	14120
46	695	14106
47	712	14137
48	728	14136
49	743	14120
50	757	14091
51	771	14063
52	786	14049
53	805	14117
54	822	14132
55	839	14145
56	855	14161
57	869	14122
58	886	14138
59	900	14108
60	914	14075
61	928	14048
62	944	14041
63	959	14033
64	974	14017
65	989	14000
66	1007	14024
67	1021	14006
68	1034	13961
69	1048	13930
70	1062	13899
71	1079	13908
72	1092	13879
73	1108	13870
74	1122	13842
75	1134	13794
76	1148	13769
77	1163	13755
78	1179	13748
79	1194	13735
80	1212	13758
81	1227	13739
82	1243	13743
83	1257	13712
84	1273	13709
85	1289	13703
86	1303	13676
87	1320	13690
88	1343	13756
89	1361	13765
90	1380	13789
91	1396	13779
92	1412	13777
93	1426	13748
94	1443	13748
95	1460	13756
96	1476	13749
97	1494	13753
98	1512	13767
99	1525	13732
100	1540	13710
101	1554	13685
102	1570	13672
103	1584	13652
104	1601	13655
105	1619	13656
106	1634	13638
107	1652	13645
108	1666	13618
109	1680	13597
110	1694	13572
111	1711	13567
112	1727	13559
113	1744	13555
114	1759	13541
115	1773	13517
116	1786	13482
117	1803	13480
118	1816	13450
119	1832	13436
120	1846	13413
121	1864	13421
122	1881	13413
123	1897	13404
124	1913	13395
125	1927	13369
126	1942	13352
127	1958	13339
128	1975	13336
129	1990	13323
130	2004	13294
131	2021	13292
132	2038	13287
133	2055	13281
134	2070	13269
135	2086	13257
136	2102	13242
137	2119	13242
138	2134	13220
139	2147	13193
140	2162	13171
141	2173	13134
142	2187	13111
143	2201	13084
144	2212	13049
145	2229	13040
146	2243	13016
147	2259	13005
148	2274	12989
149	2289	12973
150	2306	12969
151	2322	12958
152	2340	12958
153	2357	12951
154	2373	12939
155	2389	12928
156	2406	12920
157	2422	12911
158	2437	12890
159	2454	12884
160	2470	12876
161	2484	12853
162	2499	12832
163	2515	12824
164	2529	12799
165	2544	12783
166	2559	12766
167	2573	12742
168	2590	12737
169	2602	12706
170	2617	12687
171	2634	12680
172	2646	12649
173	2661	12632
174	2678	12625
175	2693	12609
176	2706	12583
177	2721	12566
178	2735	12547
179	2751	12533
180	2766	12517
181	2782	12506
182	2794	12477
183	2807	12449
184	2823	12439
185	2839	12426
186	2855	12413
187	2870	12396
188	2888	12394
189	2903	12377
190	2921	12373
191	2937	12362
192	2953	12351
193	2969	12337
194	2983	12314
195	3000	12306
196	3012	12279
197	3027	12263
198	3042	12246
199	3059	12236
200	3075	12227
201	3091	12214
202	3109	12206
203	3125	12196
204	3142	12187
205	3157	12169
206	3174	12162
207	3189	12146
208	3206	12134
209	3221	12118
210	3237	12106
211	3251	12086
212	3266	12070
213	3284	12063
214	3300	12049
215	3316	12036
216	3329	12015
217	3348	12010
218	3364	11999
219	3381	11988
220	3396	11973
221	3413	11960
222	3427	11943
223	3442	11924
224	3463	11928
225	3479	11916
226	3494	11899
227	3507	11876
228	3523	11861
229	3537	11843
230	3554	11832
231	3570	11818
232	3585	11804
233	3601	11787
234	3615	11768
235	3630	11751
236	3642	11728
237	3657	11709
238	3672	11693
239	3687	11678
240	3702	11659
241	3716	11641
242	3733	11631
243	3748	11614
244	3762	11593
245	3777	11577
246	3794	11568
247	3809	11551
248	3823	11533
249	3839	11519
250	3855	11504
251	3871	11493
252	3886	11476
253	3902	11462
254	3918	11447
255	3930	11423
256	3944	11403
257	3958	11385
258	3975	11373
259	3990	11358
260	4004	11338
261	4018	11320
262	4030	11294
263	4045	11278
264	4060	11262
265	4073	11239
266	4089	11228
267	4105	11214
268	4122	11201
269	4134	11177
270	4148	11160
271	4163	11142
272	4176	11122
273	4191	11107
274	4207	11091
275	4220	11071
276	4234	11052
277	4251	11040
278	4266	11026
279	4281	11008
280	4294	10988
281	4307	10966
282	4320	10945
283	4334	10927
284	4350	10914
285	4367	10903
286	4383	10890
287	4402	10883
288	4421	10876
289	4436	10862
290	4455	10854
291	4470	10839
292	4483	10817
293	4494	10793
294	4507	10772
295	4520	10752
296	4535	10734
297	4546	10710
298	4563	10700
299	4578	10682
300	4592	10664
301	4606	10645
302	4621	10631
303	4636	10615
304	4651	10599
305	4668	10587
306	4683	10571
307	4698	10555
308	4716	10546
309	4732	10534
310	4750	10523
311	4763	10504
312	4781	10494
313	4795	10477
314	4811	10462
315	4826	10447
316	4843	10435
317	4858	10420
318	4875	10407
319	4891	10394
320	4906	10379
321	4920	10360
322	4936	10346
323	4949	10325
324	4963	10308
325	4978	10292
326	4993	10277
327	5006	10257
328	5021	10241
329	5037	10227
330	5052	10211
331	5064	10190
332	5080	10176
333	5096	10161
334	5113	10149
335	5129	10136
336	5144	10121
337	5160	10107
338	5177	10094
339	5195	10084
340	5213	10075
341	5227	10057
342	5240	10038
343	5258	10026
344	5277	10020
345	5294	10006
346	5309	9992
347	5324	9975
348	5338	9957
349	5353	9941
350	5368	9925
351	5384	9911
352	5398	9895
353	5412	9877
354	5428	9863
355	5445	9850
356	5461	9837
357	5478	9823
358	5492	9806
359	5506	9789
360	5523	9776
361	5538	9761
362	5553	9744
363	5569	9731
364	5585	9717
365	5599	9699
366	5613	9681
367	5631	9670
368	5647	9656
369	5665	9645
370	5680	9630
371	5695	9614
372	5712	9602
373	5727	9587
374	5744	9574
375	5762	9563
376	5777	9547
377	5795	9536
378	5808	9517
379	5822	9499
380	5837	9483
381	5853	9470
382	5868	9453
383	5882	9436
384	5895	9417
385	5910	9402
386	5924	9384
387	5937	9364
388	5953	9351
389	5966	9331
390	5980	9314
391	5995	9298
392	6009	9282
393	6023	9264
394	6037	9247
395	6052	9232
396	6066	9214
397	6083	9202
398	6096	9182
399	6110	9165
400	6126	9152
401	6140	9135
402	6154	9117
403	6168	9100
404	6183	9084
405	6197	9066
406	6212	9052
407	6226	9034
408	6239	9015
409	6251	8995
410	6266	8980
411	6281	8965
412	6295	8947
413	6310	8932
414	6323	8913
415	6339	8899
416	6355	8885
417	6369	8868
418	6387	8856
419	6399	8837
420	6414	8821
421	6430	8807
422	6443	8789
423	6457	8771
424	6472	8756
425	6485	8738
426	6499	8721
427	6513	8704
428	6524	8684
429	6539	8668
430	6553	8651
431	6569	8638
432	6583	8621
433	6598	8605
434	6614	8590
435	6630	8577
436	6647	8564
437	6661	8547
438	6676	8532
439	6692	8517
440	6708	8503
441	6723	8488
442	6742	8477
443	6755	8460
444	6772	8446
445	6789	8434
446	6806	8420
447	6821	8405
448	6835	8388
449	6851	8373
450	6866	8358
451	6880	8341
452	6895	8326
453	6908	8308
454	6921	8290
455	6936	8275
456	6951	8259
457	6965	8243
458	6982	8230
459	6996	8213
460	7010	8196
461	7025	8181
462	7039	8165
463	7055	8150
464	7069	8134
465	7083	8117
466	7097	8100
467	7112	8085
468	7123	8065
469	7139	8050
470	7154	8035
471	7170	8020
472	7185	8005
473	7200	7990
474	7216	7975
475	7230	7959
476	7245	7944
477	7259	7927
478	7275	7913
479	7291	7898
480	7305	7882
481	7321	7868
482	7335	7852
483	7350	7836
484	7362	7817
485	7375	7800
486	7390	7784
487	7406	7770
488	7419	7752
489	7433	7736
490	7447	7720
491	7463	7705
492	7485	7697
