iter	RMSE
0	13339742.85
1	12252913.44
2	11267491.58
3	10406796.88
4	9651974.52
5	9001867.375
6	8436277.393
7	7939785.192
8	7507731.49
9	7129988.295
10	6786717.067
11	6499831.68
12	6261712.239
13	6062619.404
14	5879969.128
15	5727768.127
16	5605880.149
17	5494481.229
18	5397607.266
19	5286788.775
20	5185082.015
21	5101128.49
22	5022064.303
23	4960623.61
24	4899634.289
25	4856549.934
26	4818858.342
27	4787044.961
28	4757389.604
29	4724770.611
30	4692973.978
31	4668628.054
32	4650325.903
33	4636263.79
34	4616526.107
35	4606602.44
36	4596917.404
37	4581179.131
38	4571101.417
39	4558330.679
40	4543543.309
41	4535383.362
42	4526841.625
43	4518503.854
44	4514059.132
45	4504754.204
46	4497722.346
47	4489881.286
48	4480264.272
49	4469213.521
50	4463527.58
51	4457696.643
52	4452701.83
53	4450274.211
54	4447253.335
55	4443443.331
56	4436635.215
57	4433578.969
58	4429257.59
59	4428811.31
60	4425083.731
61	4420055.283
62	4414305.38
63	4408547.798
64	4405638.662
65	4403834.783
66	4398984.995
67	4392623.821
68	4389481.681
69	4383284.327
70	4376718.829
71	4371419.355
72	4369050.488
73	4362130.922
74	4356916.51
75	4350612.321
76	4349721.172
77	4342933.771
78	4340880.409
79	4339944.146
80	4335547.496
81	4333921.965
82	4331336.115
83	4326297.211
84	4322411.723
85	4319966.205
86	4315677.356
87	4311575.124
88	4305215.465
89	4303591.874
90	4301036.553
91	4297017.097
92	4293591.677
93	4288409
94	4284622.24
95	4279852.298
96	4275486.093
97	4272329.548
98	4268969.207
99	4262705.223
100	4260353.284
101	4256177.106
102	4248732.03
103	4242541.947
104	4238949.212
105	4237350.407
106	4232592.113
107	4228832.428
108	4223719.902
109	4218446.134
110	4216806.935
111	4212458.879
112	4207749.377
113	4199950.531
114	4198895.305
115	4197090.557
116	4195200.017
117	4191792.071
118	4185051.351
119	4178224.231
120	4173997.339
121	4171645.775
122	4169301.837
123	4163885.117
124	4157875.956
125	4157010.084
126	4153560.838
127	4150500.709
128	4146339.288
129	4140243.754
130	4136860.489
131	4134770.039
132	4133227.223
133	4127440.462
134	4124604.414
135	4118223.165
136	4114324.919
137	4111925.224
138	4107949.781
139	4106152.189
140	4105006.237
141	4103444.786
142	4099342.205
143	4096318.151
144	4092897.17
145	4089439.394
146	4086667.745
147	4081416.896
148	4075172.148
149	4071040.69
150	4068549.093
151	4064057.213
152	4061478.854
153	4060210.133
154	4057148.742
155	4054627.47
156	4048474.475
157	4046337.664
158	4044473.288
159	4040782.273
160	4037015.663
161	4033656.215
162	4031713.769
163	4028491.111
164	4023620.563
165	4020132.495
166	4017394.199
167	4014532.465
168	4010234.311
169	4006640.04
170	4002957.319
171	4001284.184
172	3998182.416
173	3996163.193
174	3992719.807
175	3990844.499
176	3989988.81
177	3987588.966
178	3985656.077
179	3984228.222
180	3980404.844
181	3977260.706
182	3975015.371
183	3971681.92
184	3967913.834
185	3965815.766
186	3959299.357
187	3956857.118
188	3954121.222
189	3949906.648
190	3948557.783
191	3945505.52
192	3942786.036
193	3938585.772
194	3936049.569
195	3933994.181
196	3931319.957
197	3926690.634
198	3924173
199	3922509.485
200	3920692.031
201	3918091.573
202	3914045.217
203	3909463.716
204	3906957.855
205	3904255.345
206	3901278.597
207	3899562.335
208	3897947.676
209	3893719.757
210	3891747.313
211	3888893.587
212	3883645.009
213	3879505.002
214	3875713.927
215	3873840.758
216	3871923.552
217	3868960.255
218	3868134.885
219	3866450.151
220	3864583.676
221	3862818.514
222	3862430.885
223	3861031.211
224	3858429.709
225	3855471.018
226	3853349.505
227	3849955.689
228	3848108.93
229	3845330.668
230	3840863.8
231	3839011.928
232	3835825.072
233	3833516.289
234	3829381.526
235	3827001.064
236	3826379.234
237	3824915.768
238	3824518.136
239	3822992.087
240	3821987.691
241	3819729.185
242	3818702.073
243	3816564.733
244	3814231.27
245	3812842.697
246	3812468.11
247	3811501.932
248	3807159.925
249	3806212.176
250	3803642.481
251	3800722.084
252	3799328.204
253	3796587.529
254	3794863.662
255	3793439.792
256	3790945.567
257	3789165.988
258	3787695.064
259	3785707.273
260	3784332.595
261	3782697.816
262	3779282.649
263	3777733.914
264	3775675.83
265	3771464.113
266	3769882.102
267	3763833.986
268	3762870.989
269	3760667.525
270	3759269.558
271	3756888.354
272	3752785.791
273	3750281.274
274	3748258.64
275	3746371.66
